image,id,confidence,x1,y1,x2,y2,radius,area,length,width,unit,mode
117_jpg.rf.1555d5fa81b9c094f410530198c912fd.jpg,0,0.693,93,273,503,514,157.42,77850.4,410.37,241.54,px,pixel
127_jpg.rf.17aea26c42b54933893ddf992f627fb4.jpg,0,0.607,267,328,352,391,36.49,4182.63,84.76,62.83,px,pixel
127_jpg.rf.17aea26c42b54933893ddf992f627fb4.jpg,1,0.586,299,161,358,214,28.1,2480.74,59.4,53.17,px,pixel
127_jpg.rf.17aea26c42b54933893ddf992f627fb4.jpg,2,0.58,262,318,363,394,43.92,6060.7,101.18,76.26,px,pixel
127_jpg.rf.17aea26c42b54933893ddf992f627fb4.jpg,3,0.426,442,346,502,436,36.74,4240.98,89.23,60.51,px,pixel
127_jpg.rf.17aea26c42b54933893ddf992f627fb4.jpg,4,0.337,445,350,533,566,69.03,14970.79,216.47,88.06,px,pixel
127_jpg.rf.17aea26c42b54933893ddf992f627fb4.jpg,5,0.274,447,419,537,567,57.44,10363.43,147.54,89.44,px,pixel
146_jpg.rf.8a725019fb182651713e27d1ca8a6676.jpg,0,0.596,137,212,218,273,34.94,3834.33,80.88,60.36,px,pixel
146_jpg.rf.8a725019fb182651713e27d1ca8a6676.jpg,1,0.488,261,143,317,190,25.65,2067.58,55.94,47.06,px,pixel
146_jpg.rf.8a725019fb182651713e27d1ca8a6676.jpg,2,0.417,241,238,309,286,28.7,2587.35,67.85,48.55,px,pixel
146_jpg.rf.8a725019fb182651713e27d1ca8a6676.jpg,3,0.416,9,187,117,269,46.94,6922.39,108.14,81.5,px,pixel
146_jpg.rf.8a725019fb182651713e27d1ca8a6676.jpg,4,0.354,139,225,211,275,30.23,2870.71,72.41,50.48,px,pixel
149_jpg.rf.17c8c68fbff1b70de89ca458e723ba64.jpg,0,0.626,22,418,162,530,62.65,12330.4,140.15,112.02,px,pixel
152_jpg.rf.3cd2ac3b7ea4a9a55d7c215ff36be166.jpg,0,0.591,345,36,550,160,79.95,20079.26,205.36,124.49,px,pixel
152_jpg.rf.3cd2ac3b7ea4a9a55d7c215ff36be166.jpg,1,0.324,190,489,261,535,28.5,2552.63,70.54,46.08,px,pixel
162_jpg.rf.ebce6fe484dfe4b837fee78e0df1dbb5.jpg,0,0.545,255,82,304,119,21.47,1447.97,49.4,37.32,px,pixel
162_jpg.rf.ebce6fe484dfe4b837fee78e0df1dbb5.jpg,1,0.536,285,16,353,49,23.74,1770.04,67.84,33.22,px,pixel
162_jpg.rf.ebce6fe484dfe4b837fee78e0df1dbb5.jpg,2,0.443,155,157,244,212,34.96,3840.02,89.69,54.51,px,pixel
162_jpg.rf.ebce6fe484dfe4b837fee78e0df1dbb5.jpg,3,0.353,291,348,371,459,47.42,7065.35,111.87,80.41,px,pixel
174_jpg.rf.0bee2b8df77384391c4993f6e4a56b0e.jpg,0,0.297,3,0,603,342,226.58,161290.62,600.23,342.14,px,pixel
185_jpg.rf.3f0b891fddd15050e1cce4e9ff738fc7.jpg,0,0.538,0,464,88,594,53.59,9020.77,130.14,88.25,px,pixel
185_jpg.rf.3f0b891fddd15050e1cce4e9ff738fc7.jpg,1,0.527,17,213,201,326,72.08,16320.79,184.19,112.82,px,pixel
185_jpg.rf.3f0b891fddd15050e1cce4e9ff738fc7.jpg,2,0.314,214,219,308,296,42.65,5715.62,94.11,77.33,px,pixel
185_jpg.rf.3f0b891fddd15050e1cce4e9ff738fc7.jpg,3,0.267,201,190,310,297,53.99,9156.54,109.0,106.96,px,pixel
198_jpg.rf.243f418c45c55d78ab39df6a3c226dab.jpg,0,0.732,275,329,373,431,50.02,7860.12,102.28,97.85,px,pixel
198_jpg.rf.243f418c45c55d78ab39df6a3c226dab.jpg,1,0.619,326,113,444,181,44.53,6230.05,118.22,67.1,px,pixel
198_jpg.rf.243f418c45c55d78ab39df6a3c226dab.jpg,2,0.595,57,430,148,570,56.28,9950.63,139.31,90.95,px,pixel
198_jpg.rf.243f418c45c55d78ab39df6a3c226dab.jpg,3,0.53,302,234,376,282,29.69,2768.85,73.5,47.96,px,pixel
198_jpg.rf.243f418c45c55d78ab39df6a3c226dab.jpg,4,0.298,67,285,205,437,72.47,16498.68,151.45,138.71,px,pixel
198_jpg.rf.243f418c45c55d78ab39df6a3c226dab.jpg,5,0.293,240,459,292,507,24.96,1956.6,52.04,47.88,px,pixel
198_jpg.rf.243f418c45c55d78ab39df6a3c226dab.jpg,6,0.287,291,232,378,289,35.57,3975.37,87.82,57.64,px,pixel
20240621_212433_jpg.rf.0a461da42463687760e715dffad2512a.jpg,0,0.657,259,215,455,354,82.32,21287.87,195.96,138.32,px,pixel
247_jpg.rf.d8e2df3d812decf36104fe2ea1d97d74.jpg,0,0.592,51,323,281,461,89.03,24903.04,230.04,137.84,px,pixel
270_jpg.rf.043167a83accf25a89d5bf750bdf5b11.jpg,0,0.393,300,62,415,146,49.21,7606.57,115.26,84.03,px,pixel
270_jpg.rf.043167a83accf25a89d5bf750bdf5b11.jpg,1,0.392,298,61,420,179,59.93,11282.04,121.75,117.98,px,pixel
270_jpg.rf.043167a83accf25a89d5bf750bdf5b11.jpg,2,0.346,510,114,618,212,51.35,8282.75,108.3,97.38,px,pixel
270_jpg.rf.043167a83accf25a89d5bf750bdf5b11.jpg,3,0.336,292,293,349,355,29.74,2779.53,61.94,57.13,px,pixel
28_jpg.rf.69ed2c5acdfb4a6c4d3c0d0d429d1079.jpg,0,0.826,37,72,507,539,234.34,172519.87,469.69,467.67,px,pixel
