epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.951,1.90013,2.36933,1.68055,0.28162,0.17243,0.13369,0.05057,2.01343,2.7021,1.96276,0.000657895,0.000657895,0.000657895
2,373.632,1.94989,2.04643,1.67806,0.26816,0.28195,0.16538,0.06627,2.24247,2.648,2.15258,0.00123714,0.00123714,0.00123714
3,561.158,1.96897,2.07723,1.71177,0.26713,0.5,0.26869,0.10335,1.99394,6.37056,1.9536,0.00172839,0.00172839,0.00172839
4,748.338,1.92106,1.9604,1.67793,0.5291,0.54511,0.51787,0.20866,2.01532,2.75494,1.82119,0.001604,0.001604,0.001604
5,936.494,1.91284,1.88121,1.64338,0.6055,0.52632,0.55975,0.21729,1.98272,2.17971,1.68219,0.001472,0.001472,0.001472
6,1124.25,1.91993,1.83199,1.6465,0.6859,0.48436,0.5871,0.27736,1.92921,1.66159,1.69644,0.00134,0.00134,0.00134
7,1311.14,1.86408,1.74492,1.59535,0.58781,0.5188,0.55339,0.22112,1.94661,2.1243,1.66344,0.001208,0.001208,0.001208
8,196.569,1.82314,1.72276,1.60017,0.67686,0.57484,0.64794,0.28275,1.86869,1.83535,1.64495,0.001076,0.001076,0.001076
9,388.491,1.77668,1.60393,1.52916,0.72464,0.62782,0.70005,0.30336,1.80397,1.52669,1.62616,0.000944,0.000944,0.000944
10,574.432,1.74323,1.55713,1.54008,0.7186,0.6391,0.71383,0.33856,1.80094,1.47298,1.5609,0.000812,0.000812,0.000812
11,761.259,1.68731,1.47991,1.50722,0.77616,0.59774,0.71402,0.33364,1.89839,1.40694,1.66277,0.00068,0.00068,0.00068
12,947.629,1.66753,1.4403,1.49111,0.76156,0.67241,0.74014,0.36233,1.81998,1.35372,1.61055,0.000548,0.000548,0.000548
13,1132.9,1.69005,1.44366,1.50228,0.70785,0.67293,0.70915,0.34343,1.80531,1.4142,1.60933,0.000416,0.000416,0.000416
14,1319.14,1.65036,1.35552,1.48466,0.74501,0.71805,0.76433,0.38101,1.75334,1.25198,1.53869,0.000284,0.000284,0.000284
15,1503.63,1.60801,1.30768,1.44909,0.78431,0.69173,0.77707,0.38992,1.74705,1.25725,1.52937,0.000152,0.000152,0.000152
